305 [H]C([H])C([H])([H])O=O [H]C([H])=C([H])[H]
301 [H]C([H])C([H])([H])OO [H]C([H])=C([H])[H]
224 [H]C([H])C([H])[H] [H]C([H])=C([H])[H]
121 [H]OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
95 [H]OOC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
43 [H]C([H])C([H])([H])[H] [H]C([H])=C([H])[H]
39 [H]C([H])C([H])([H])O([H])[H] [H]C([H])=C([H])[H]
30 [H]C([H])=C([H])([H])OO [H]C([H])=C([H])[H]
16 [H]C([H])=C([H])([H])O=O [H]C([H])=C([H])[H]
13 [H]C([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
13 [H]C([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
12 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
9 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
8 [H]OC([H])([H])=C([H])[H] [H]C([H])=C([H])[H]
8 [H]O[H]C([H])=C([H])[H] [H]C([H])=C([H])[H]
7 [H]CC([H])([H])[H] [H]C([H])=C([H])[H]
7 [H]O[H]C([H])C([H])[H] [H]C([H])=C([H])[H]
6 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
6 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
5 [H]C([H])=C([H])[H]O=O [H]C([H])=C([H])[H]
5 [H]C([H])C([H])([H])(O)O [H]C([H])=C([H])[H]
5 [H]OO[H]C([H])=C([H])[H] [H]C([H])=C([H])[H]
4 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
4 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
4 [H]C([H])C([H])[H]OO [H]C([H])=C([H])[H]
3 [H]C([H])C([H])([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
3 [H]C([H])C([H])[H]O=O [H]C([H])=C([H])[H]
3 [H]OOC([H])([H])=C([H])[H] [H]C([H])=C([H])[H]
2 [H]C(=O)OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
2 [H]C(O)OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
2 [H]C([H])=C([H])([H])O([H])[H] [H]C([H])=C([H])[H]
2 [H]C([H])=COC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
2 [H]C([H])C([H])([H])O([H])C([H])([H])[H] [H]C([H])=C([H])[H]
2 [H]C([H])C([H])([H])OC([H])([H])[H] [H]C([H])=C([H])[H]
2 [H]C([H])C([H])([H])OOC([H])([H])[H] [H]C([H])=C([H])[H]
2 [H]OC([H])([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C#C([H])C([H])([H])=C([H])[H] [H]C([H])=C([H])[H]
1 [H]C#COC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C(=O)OC([H])([H])=C([H])[H] [H]C([H])=C([H])[H]
1 [H]C(=O)OOC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C(=O)[H]C([H])=C([H])[H] [H]C([H])=C([H])[H]
1 [H]C(C=O)OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C(O)C([H])OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])#C([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])(O=O)C([H])([H])O=O [H]C([H])=C([H])[H]
1 [H]C([H])(OO)C([H])([H])(O)O [H]C([H])=C([H])[H]
1 [H]C([H])(OO)C([H])([H])O=O [H]C([H])=C([H])[H]
1 [H]C([H])(OO)C([H])([H])OO [H]C([H])=C([H])[H]
1 [H]C([H])([H])C([H])([H])OO [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])(O)O [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])C([H])([H])=O [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])OOC([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])C([H])([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])OOC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])[H]OC([H])O [H]C([H])=C([H])[H]
