304,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])O=O
295,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])OO
224,[H]C([H])=C([H])[H],[H]C([H])C([H])[H]
155,[H]C([H])=C([H])[H],[H]OC([H])([H])C([H])[H]
99,[H]C([H])=C([H])[H],[H]OOC([H])([H])C([H])[H]
43,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])O([H])[H]
34,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])[H]
24,[H]C([H])=C([H])[H],[H]C([H])=C([H])([H])OO
19,[H]C([H])=C([H])[H],[H]C([H])=C([H])([H])O=O
15,[H]C([H])=C([H])[H],[H]O[H]C([H])=C([H])[H]
11,[H]C([H])=C([H])[H],[H]C=C([H])[H]
9,[H]C([H])=C([H])[H],[H]O[H]
8,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])(O)O
8,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])O
7,[H]C([H])=C([H])[H],[H]O[H]C([H])C([H])[H]
6,[H]C([H])=C([H])[H],[H]CC([H])([H])[H]
6,[H]C([H])=C([H])[H],[H]OC([H])([H])=C([H])[H]
5,[H]C([H])=C([H])[H],[H]C([H])=C([H])[H]O=O
5,[H]C([H])=C([H])[H],[H]OO[H]C([H])=C([H])[H]
4,[H]C([H])=C([H])[H],[H]C([H])C([H])[H]O=O
4,[H]C([H])=C([H])[H],[H]CC([H])[H]
3,[H]C([H])=C([H])[H],[H]C(=O)OOC([H])([H])C([H])[H]
3,[H]C([H])=C([H])[H],[H]C(O)OC([H])([H])C([H])[H]
3,[H]C([H])=C([H])[H],[H]C([H])=COC([H])([H])C([H])[H]
3,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])OOC([H])([H])[H]
3,[H]C([H])=C([H])[H],[H]C([H])C([H])[H]OO
3,[H]C([H])=C([H])[H],[H]OOC([H])([H])=C([H])[H]
2,[H]C([H])=C([H])[H],[H]C#COC([H])([H])C([H])[H]
2,[H]C([H])=C([H])[H],[H]C([H])(OO)C([H])([H])OO
2,[H]C([H])=C([H])[H],[H]C([H])=C([H])([H])O([H])[H]
2,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])C([H])([H])[H]
2,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])O([H])C([H])([H])[H]
2,[H]C([H])=C([H])[H],[H]OC([H])([H])C([H])([H])(O)O
2,[H]C([H])=C([H])[H],[H]OC([H])C([H])([H])[H]
2,[H]C([H])=C([H])[H],[H]OO[H]
2,[H]C([H])=C([H])[H],[H]OO[H]C([H])C([H])[H]
2,[H]C([H])=C([H])[H],[H]O[H]OOC([H])([H])C([H])[H]
2,[H]C([H])=C([H])[H],[H][H]
1,[H]C([H])=C([H])[H],[HH]
1,[H]C([H])=C([H])[H],[H]C#C([H])C([H])([H])=C([H])[H]
1,[H]C([H])=C([H])[H],[H]C#C([H])[H]
1,[H]C([H])=C([H])[H],[H]C(=C=O)C([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]C(=COC([H])([H])C([H])[H])OO
1,[H]C([H])=C([H])[H],[H]C(=O)OC([H])([H])=C([H])[H]
1,[H]C([H])=C([H])[H],[H]C(=O)OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])#C([H])O([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])#C([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])(OO)C([H])([H])(O)O
1,[H]C([H])=C([H])[H],[H]C([H])(OO)C([H])([H])O=O
1,[H]C([H])=C([H])[H],[H]C([H])=C([H])([H])C([H])([H])=O
1,[H]C([H])=C([H])[H],[H]C([H])=C([H])([H])C([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])=C([H])OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])=C([H])[H]OO
1,[H]C([H])=C([H])[H],[H]C([H])=O
1,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])O([H])[H]OO
1,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])OC([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])OOC([H])([H])C([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])C([H])([H])OO[H]OC([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])C([H])O=O
1,[H]C([H])=C([H])[H],[H]C([H])C([H])[H]O([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])O([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]C([H])[H]C([H])[H]
1,[H]C([H])=C([H])[H],[H]C=C([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]O=O
1,[H]C([H])=C([H])[H],[H]OC#CO[H]C([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC(OC([H])([H])C([H])[H])=C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC([H])([H])C([H])([H])OO
